Name_of_Mitigation_Action,Sector_Affected,GHGs_Affected,Objective_andor_Activity_Affected,Type_of_Instrument,Status_of_Implementation,Start_year_of_Implementation,Implementation_Entity,Estimate_of_Mitigation_Impact_in_2020_Kt_CO2_eq,Estimate_of_Mitigation_Impact_in_2030_Kt_CO2_eq,Brief_Description
New Brunswick Landfill Gas Management* ,Waste and Other,CH4,Increase methane capture rate at landfills,Voluntary Agreement ,Implemented,2008,New Brunswick,26,280,Six municipal solid waste landfills have installed approved landfill gas capture systems. Five of the six landfills are generating electricity from the biogas. This 2014-2020 voluntary agreement is implemented by New Brunswick and the Landfill Commissions. 
Nova Scotia Solid Waste Resources Management Regulations*,Waste and Other,"CH4, CO2",Increase the rate of waste diversion from landfills in Nova Scotia,Regulatory,Implemented,1996,Nova Scotia,NEh,NEh,"Implemented in 1996, this regulation resulted in Nova Scotia having the highest waste diversion rate in Canada and includes a ban on organics entering landfills in Nova Scotia. Currently 55% of Nova Scotia organic waste is diverted from all landfills into aerobic processing, converting the potential methane from these organics to CO2 emissions (25 times lower global warming potential).  "
Prince Edward Island Waste Watch*,Waste and Other,CH4,Reduce methane generation from landfill,Voluntary Agreement ,Adopted,2002,Prince Edward Island,NEh,NEh,"Prince Edward Island is a national leader in sustainable waste management practices through its innovative Waste Watch program. It offers a curbside three source separation system (waste, compost, and recyclables) to all residents. The Waste Watch program was launched province-wide in 2002 by the Island Waste Management Corporation, a provincial crown corporation. The program successfully diverts as much as 65% of waste produced by Islanders from disposal in landfill. Compostable waste is diverted to a central compost facility.  "
Newfoundland and Labrador measures to reduce emissions from waste*,Waste and Other,CH4,Reduce methane generation from landfill,Regulatory,Adopted,2002,Newfoundland and Labrador,NEh,NEh,"Includes measures to reduce landfill volumes, increase composting, destroy methane and allow for biogas electricity generation."
Agricultural Clean Technology Program,Agriculture,"CO2, CH4, N2O",Support research on GHG mitigation and make new mitigation technologies available to farmers,Research,Implemented,2018,"Agriculture and Agri-Food Canada, Provincial and Territorial Governments ",NEd,NEd,"The Agricultural Clean Technology Program, a $25 million, three-year initiative (2018-2021), supports investments made by provincial and territorial governments to lower greenhouse gas emissions from agricultural production through research, development and adoption of clean technologies for the agriculture sector through precision agriculture and agri-based bioproducts. These technologies will help to reduce GHG emissions, generate a wide range of positive impacts, and promote sustainable and clean growth. "
Agricultural Greenhouse Gases Program,Agriculture,"CO2, CH4, N2O",Support research on GHG mitigation and make new mitigation technologies available to farmers,Research,Implemented,2010,Agriculture and Agri-Food Canada,NEd,NEd,"The Agricultural Greenhouse Gases Program supports innovative research projects that develop technologies, practices and processes that can be adopted by farmers to mitigate GHG emissions. A first phase of the program ran from 2010-2015 ($27 million) and the second phase of the program (2016-2021), extends Canada's commitment to support the objectives of the Global Research Alliance on Agricultural Greenhouse Gases. This new $27 million five year commitment will be funding twenty projects that will create technologies, practices and processes that can mitigate additional greenhouse gas emissions. Most projects are led by Canadian universities across the country and fall under one or more of the following four priority areas: livestock systems, cropping systems, agricultural water use efficiency, and agroforestry."
Canadian Agricultural Partnership (the Partnership),Agriculture,"CO2, CH4, N2O ",Reduce GHG emissions from the agricultural sector,Education,Implemented,2018,"Agriculture and Agri-Food Canada, Provincial and Territorial Governments",NEe,NEe,"The Partnership, launched April 1, 2018, is a five-year, $3 billion investment by federal, provincial and territorial governments to strengthen the agriculture and agri-food sector. Through the Partnership, provinces and territories design and manage delivery of cost-shared environmental stewardship programs to support Environmental Farm Plans and adoption of best management practices such as cover crops, precision nutrient application, equipment for reduced tillage seeding and enhanced irrigation efficiency.  "
The Partnership Federal-Only Program: AgriInnovate,Agriculture,"CO2, CH4, N2O",Support the reduction of GHG emissions from the agricultural sector,Research,Implemented,2018,Agriculture and Agri-Food Canada,NEd,NEd,"The AgriInnovate program aims to accelerate the commercialization, adoption and/or demonstration of innovative products, technologies, processes or services that increase sector competitiveness and sustainability. Priority areas under AgriInnovate include: adoption of new or world leading clean technology, including precision agriculture; and increased productivity through advanced manufacturing, automation or robotics."
The Partnership Federal-Only Program: AgriScience,Agriculture,"CO2, CH4, N2O",Support research on GHG mitigation and make new mitigation technologies available to farmers,Research,Implemented,2018,Agriculture and Agri-Food Canada,NEe,NEe,"The AgriScience program (2018-2023) aims to accelerate the pace of innovation by providing funding and support for pre-commercial science activities and cutting-edge research that benefits the agriculture and agri-food sector and Canadians. Priority areas under AgriScience include: addressing environmental challenges and adaptation to changing climate, agricultural impacts on air, water and soil; reducing GHG emissions; transforming agricultural products into biofuels; and water management and soil management."
British Columbia Nutrient Management Program ,Agriculture,N2O,Reduce GHG emissions from the agricultural sector,"Education, Research",Implemented,2015,British Columbia ,NEh,NEh,"The Nutrient Management Program promotes the right amount, form, placement, and timing of fertilizers and manure to optimize crop growth and minimize the environmental impacts of nutrient application, including GHG emissions and nitrate leaching into ground water. This program includes: expanding trials to develop and demonstrate nutrient management best practices to the agriculture industry; increasing funding to the sector to implement beneficial management practices that promote better nutrient management and further reductions in GHG emissions; and nutrient management planning to help producers improve nutrient applications and meet new environmental regulations under the new Agricultural Environmental Management Code of Practice."
Saskatchewan Agriculture Water Management Strategy,Agriculture,N2O,The program supports responsible drainage to reduce direct N2O emissions from agricultural runoff and enhances carbon sequestration by conserving wetland habitats,Regulatory,Implemented,2018,Saskatchewan,NEh,NEh,"Saskatchewan’s agricultural water management framework assures continued productivity, enhances wetland habitat conservation and improves runoff management in times of both drought and flood. Saskatchewan provided funding of $922,250 to Watershed groups and community groups to assist in agricultural water management implementation. Wetlands are natural carbon sinks; this strategy helps preserve these sinks and prevents stored GHGs from entering the atmosphere. Similarly, responsible drainage of water on cropland can facilitate efficient application of nitrogen-based fertilizers and reduce the amount of fertilizer that is lost to the atmosphere as N2O due to volatilization."
Saskatchewan  Landscape Integrity Program,Agriculture,"CO2, CH4, ",Reduce emissions from agriculture and increase resiliency to climate change,"Education, ",Implemented,2018,Saskatchewan,NEh,NEh,"Provides eligible Saskatchewan producers with financial assistance to implement Beneficial Management Practices of manure management, which requires operations that feed and house livestock under confined conditions to develop manure storage and management plans that reduce GHG emissions."
Ag Action Manitoba Program - Assurance,Agriculture,"CO2, CH4, N2O",Reduce emissions and co-benefits,Voluntary Agreement,Implemented,2018,Manitoba,NEh,NEh,"In 2018, Ag Action Manitoba announced program funding to help farmers implement and adopt beneficial management practices on their farm identified in their Environmental Farm Plan. These practices support reducing emissions among other benefits. The Ag Action Manitoba program is a five-year investment of $176 million to Manitoba's agriculture and agri-food sector, and supports the growth and sustainability of primary agriculture in Manitoba, with funding available for: developing new skills, technologies and products; increasing production and adding value to their products; finding new markets; improving plant and animal health; supporting environmental sustainability; and supporting basic and applied research and development. Conservation districts can apply to the Ag Action Manitoba program activity called Assurance, which includes Watershed Ecological Goods and Services, and provides funding to conservation districts to work with farmers to implement practices that conserve and enhance ecological goods and services on the agricultural landscape. "
Manitoba 4R Nutrient Stewardship System,Agriculture,N2O,"Reduce emissions and enhance emission sequestration, and co-benefits (water quality)",Voluntary Agreement,Implemented,2018,Manitoba,NEh,NEh,"In 2018, the Government of Manitoba, Fertilizer Canada and Keystone Agricultural Producers renewed their partnership to promote 4R Nutrient Stewardship as the leading approach to sustainable nutrient beneficial management practices in the province. The Memorandum of Understanding links the Government of Manitoba’s objectives for environmental performance with the 4R Nutrient Stewardship programming developed by Canada’s fertilizer industry and ensures continued commitment to agricultural sustainability in Manitoba."
Québec Fertilizer Testing Support Program,Agriculture,"CO2, CH4, N2O",Reduction of GHG emissions in the agriculture sector  ,Economic,Implemented,2013,Québec,NEh,NEh,This initiative aims to support crop producers in the implementation of crop fertilization trial projects that will adjust fertilizer reference grids in line with today's realities.  
Prince Edward Island Alternative Land Use Services Program ,Agriculture ,"CO2, N2O",Remove environmentally sensitive land from production ,Economic,Implemented,2011,Prince Edward Island,NEh,NEh,"Alternative Land Use Services Program provides agricultural landowners with assistance to remove environmentally sensitive land from production and includes expanding buffer zones and grassed headlands, and retiring high-sloped land. Currently, the program supports the removal of over 2,800 hectares of farm land from production."
Prince Edward Island Winter Cover Crop Funding Programs,Agriculture ,"CO2, N2O",Establish winter cover crops to sequester carbon and limit N2O emissions,Economic,Implemented,2023,Prince Edward Island,2,2,"The Winter Cover Crop program (funded through the Canadian Agricultural Partnership) is available to farmers to reduce nutrient loss in the soil, but also has influences on carbon sequestration and direct and indirect losses of nitrous oxide. This program recently expanded it scope to include any type of cover crop following the ""primary"" crop. A per acre incentive is provided with almost 1,000 acres currently committed for 2019. The program has the capacity to include additional acreage this year. The program, with its expanded scope will continue in 2020 with capacity to support about 1,500 acres. This program is funded, in part, by the Canadian Agricultural Partnership. "
Forest Bioeconomy Framework for Canada,LULUCF,CO2,Reduce GHG emissions and advance innovation in the forest sector,Voluntary Agreement,Implemented,2017,"Natural Resources Canada, provincial and territorial governments ",NEd,NEd,"In September 2017, the federal, provincial and territorial governments, working together through the Canadian Council of Forest Ministers, launched a Forest Bioeconomy Framework for Canada. This framework will position Canada to become a global leader in the use of forest biomass for advanced bio-products and innovative solutions. The Framework presents an integrated approach to meeting climate change mitigation commitments and advancing innovation in the forest sector for the long term. It affirms federal, provincial and territorial government commitments to work in partnership with forest communities and industry stakeholders, including continually engaging Indigenous Peoples. The plan is expected to generate indirect, rather than direct, emissions reductions."
Low Carbon Economy Fund projects related to the forestry sector ,LULUCF,"CO2, CH4, N2O",Remove GHG emissions,Economic,Implemented,2017,Environment and Climate Change Canada,NEc,NAc,"The Government of Canada’s Low Carbon Economy Fund provides support to projects that allow the forestry sector to enhance stored carbon in forests. For example, through the Low Carbon Economy Leadership Fund provides federal support for British Columbia’s Forest Carbon Initiative that includes measures to reduce slash burning, restore forests, and use harvest residues. The mitigation impacts for this action are included under the overarching estimate for the Low Carbon Economy Leadership Fund."
British Columbia Forest Carbon  Initiative,LULUCF,"CO2, CH4, ",Enhance forest carbon removals and reduce emissions,Economic,Implemented,2017,British Columbia,NEh,NEh,"BC’s $290 million Forest Carbon Initiative is using a portfolio approach to enhance the carbon sequestration capacity of BC’s forests with the rehabilitation of wildfire and mountain pine beetle sites, and other areas where there is no legal obligation for replanting. The initiative aims to increase planting density and the use of residual wood, to improve the use of forest fibre for biofuels and longer-lived wood products, and to promote sustainable forestry practices."
"British Columbia Forest Carbon, Offsets",LULUCF,CO2,Increase carbon stocks through sustainable forest management and conservation,Regulatory,Implemented,2017,British Columbia ,950,910,"British Columbia pursues offsets in the forestry sector, an example of which being the Great Bear Rainforest Forest, which, supports a strict new ecosystem-based management regime and protects 85% of the 6.4 million hectare area. Offsets are purchased by the Province as part of the Carbon Neutral Government Program.  "
Saskatchewan Forest Management on Commercial Forest Lands,LULUCF,CO2,Increase carbon sequestration ,"Voluntary, Agreement, Regulatory, Education  ",Implemented,2018,Saskatchewan,NEh,NEh,"Ensure natural and commercially forested lands are managed in a manner that enhances the removal and storage of carbon from the atmosphere while allowing for sustainable harvesting, respecting normal forest cycles and fire preparedness."
Saskatchewan SaskPower Shand Greenhouse Seedlings,LULUCF,CO2,Mitigate GHG emissions from SaskPower’s use of fossil fuels to produce electricity,Voluntary Agreement,Implemented,1992,Saskatchewan,111,129,"The SaskPower Shand Greenhouse grows and distributes tree, shrub and native plant seedlings utilizing waste heat from the adjacent coal-fired generating station. Typical annual production is 500,000 seedlings. Each production cycle is estimated to contribute 3.3 to 5.6 Kt of CO2 eq sequestration per year of growth. It is estimated that 1348 Kt CO2 eq will have been cumulatively sequestered due to seedling production and associated plantings in the period from 1992 to 2020 and that 2669 Kt CO2 eq will have been cumulatively sequestered in the period from 1992 to 2030.  "
Manitoba Growing Outcomes in Watersheds Program,LULUCF,"CO2, N2O","Reduce emissions and enhance emissions sequestration, and cobenefits water management, biodiversity, etc.",Voluntary Agreement,Implemented,2019,Manitoba,NEh,NEh,"The Growing Outcomes in Watersheds Program supports emissions reduction and sequestration. The trust was established with an initial investment of $52 million and commitment for another $50 million made later in 2019. The program will help producers and ranchers with projects such as restoring wetlands, planting windbreaks and balancing drainage with water retention. Benefits include improved water management, enhanced sustainable agricultural production, improved biodiversity and habitat, and carbon sequestration and storage."
Manitoba Conservation Trust,LULUCF,"CO2, N2O","Increase carbon sequestration and other benefits (reduce flooding and drought vulnerability, improve water quality, etc.)",Voluntary Agreement,Implemented,2018,Manitoba,NEh,NEh,"The $102 million Conservation Trust established in 2018 supports programs related to conserving ecosystems, enhancing natural infrastructure, improving water quality, and strengthening flood and drought mitigation and adaption to the impacts of climate. The program supports increasing carbon sequestration. "
Québec Wood Innovation Workplan,LULUCF,CO2,Support the transformation and modernization of the forest products industry,Economic,Implemented,2016,Québec,NEh,NEh,"Québec’s Wood Innovation Work Plan supports the transformation and modernization of the forest products industry, with over $86 million in government investments by 2022. Work plan consists of nearly 40 measures to support the transformation and modernization of the forest products industry. Québec also began a Wood Innovation Program in 2015 to encourage applied research, demonstration and implementation of innovative products, processes and systems in the forest products industry.  "
Prince Edward Island Carbon Capture Tree Planting Program,LULUCF,CO2,Sequester carbon through tree planting,Economic,Planned,2022,Prince Edward Island,NEb,8.6,"The Carbon Capture Tree Planting program—an initiative to plant native tree species on about 250 hectares of abandoned or marginal public and private land—was launched earlier this year. At the end of March 2019, 40 landowners had applied to participate and 45 hectares of trees will be planted in 2019-2020. The J. Frank Gaudet Nursery will begin growing trees for planting on 90 hectares next year. This project is funded in part by the Government of Canada's Low Carbon Economy Leadership Fund."
